,HHID,Subward,Droughts,Floods,Groundwater,Heat,Pests,Frost,Hail
83,2304041,2304,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
84,2304043,2304,0.0,0.0,1.0,0.0,1.0,0.0,0.0
85,2304044,2304,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0
86,2304045,2304,0.0,1.0,1.0,0.0,1.0,1.0,-1.0
87,2304046,2304,0.0,1.0,1.0,1.0,0.0,0.0,0.0
88,2304049,2304,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,2304050,2304,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
90,2304051,2304,1.0,1.0,-1.0,0.0,1.0,1.0,0.0
91,2304052,2304,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,2304053,2304,1.0,1.0,0.0,1.0,1.0,1.0,1.0
93,2304055,2304,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0
94,2304056,2304,0.0,0.0,1.0,1.0,0.0,1.0,1.0
95,2304059,2304,1.0,1.0,0.0,1.0,1.0,1.0,1.0
96,2304064,2304,1.0,0.0,-1.0,1.0,1.0,1.0,0.0
97,2304065,2304,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0
98,2304070,2304,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
99,2304071,2304,1.0,1.0,-1.0,0.0,1.0,1.0,1.0
100,2304072,2304,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
101,2304075,2304,1.0,0.0,-1.0,0.0,0.0,0.0,1.0
102,2304076,2304,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0
103,2304083,2304,1.0,0.0,-1.0,1.0,1.0,0.0,0.0
104,2304084,2304,1.0,1.0,1.0,1.0,1.0,0.0,1.0
105,2304085,2304,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0
106,2304086,2304,1.0,-1.0,0.0,0.0,1.0,1.0,0.0
107,2304087,2304,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
108,2304089,2304,1.0,1.0,0.0,1.0,1.0,1.0,1.0
109,2304090,2304,1.0,1.0,0.0,1.0,1.0,1.0,0.0
110,2304091,2304,-1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0
111,2304092,2304,0.0,0.0,0.0,0.0,1.0,0.0,0.0
112,2304094,2304,1.0,0.0,0.0,0.0,1.0,0.0,0.0
113,2304098,2304,0.0,0.0,-1.0,0.0,1.0,1.0,0.0
114,2304103,2304,1.0,1.0,-1.0,0.0,1.0,1.0,0.0
115,2304105,2304,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0
116,2304110,2304,1.0,1.0,1.0,1.0,1.0,1.0,1.0
117,2304111,2304,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0
118,2304112,2304,1.0,-1.0,0.0,0.0,1.0,0.0,0.0
119,2304118,2304,0.0,1.0,0.0,0.0,1.0,1.0,-1.0
120,2304119,2304,1.0,1.0,1.0,1.0,1.0,1.0,0.0
121,2304121,2304,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
122,2304122,2304,1.0,1.0,-1.0,1.0,1.0,1.0,0.0
123,2304123,2304,1.0,1.0,-1.0,1.0,1.0,1.0,0.0
124,2304124,2304,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,2304126,2304,1.0,1.0,-1.0,0.0,1.0,1.0,-1.0
126,2304130,2304,1.0,1.0,1.0,0.0,-1.0,1.0,-1.0
127,2304131,2304,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0
128,2304132,2304,1.0,1.0,0.0,1.0,1.0,1.0,1.0
129,2304133,2304,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
130,2304134,2304,0.0,0.0,1.0,1.0,-1.0,1.0,-1.0
131,2304135,2304,1.0,1.0,1.0,1.0,1.0,1.0,1.0
132,2304136,2304,1.0,1.0,1.0,1.0,1.0,0.0,0.0
133,2304139,2304,1.0,1.0,1.0,1.0,1.0,1.0,1.0
134,2304140,2304,1.0,1.0,1.0,0.0,1.0,1.0,1.0
135,2304141,2304,1.0,1.0,1.0,1.0,1.0,1.0,0.0
136,2304146,2304,1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0
137,2304147,2304,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
138,2304148,2304,1.0,1.0,1.0,1.0,1.0,1.0,1.0
139,2304149,2304,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
140,2304150,2304,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0
141,2304151,2304,1.0,1.0,1.0,1.0,1.0,1.0,1.0
142,2304152,2304,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
143,2304154,2304,0.0,1.0,-1.0,1.0,1.0,1.0,1.0
144,2304155,2304,1.0,0.0,1.0,1.0,1.0,1.0,0.0
145,2304157,2304,1.0,0.0,-1.0,0.0,1.0,0.0,0.0
146,2304158,2304,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
147,2304163,2304,1.0,1.0,0.0,1.0,1.0,-1.0,1.0
148,2304162,2304,1.0,1.0,0.0,1.0,1.0,0.0,1.0
149,2304164,2304,0.0,1.0,1.0,1.0,1.0,1.0,-1.0
150,2304166,2304,0.0,1.0,-1.0,1.0,1.0,-1.0,0.0
151,2304167,2304,1.0,0.0,1.0,1.0,1.0,1.0,0.0
152,2304170,2304,1.0,1.0,0.0,0.0,-1.0,-1.0,-1.0
153,2304173,2304,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
154,2304174,2304,0.0,1.0,-1.0,1.0,1.0,1.0,-1.0
155,2304175,2304,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0
156,2304176,2304,1.0,0.0,-1.0,1.0,0.0,0.0,0.0
157,2304177,2304,0.0,1.0,-1.0,1.0,1.0,1.0,1.0
158,2309002,2309,1.0,1.0,-1.0,0.0,1.0,1.0,-1.0
159,2309004,2309,0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
160,2309014,2309,1.0,1.0,1.0,1.0,1.0,1.0,1.0
161,2309016,2309,1.0,1.0,-1.0,1.0,1.0,1.0,0.0
162,2309021,2309,1.0,0.0,-1.0,1.0,1.0,1.0,-1.0
163,2309022,2309,0.0,0.0,0.0,1.0,1.0,1.0,1.0
164,2309029,2309,1.0,0.0,1.0,0.0,1.0,1.0,-1.0
165,2309030,2309,1.0,0.0,-1.0,-1.0,1.0,1.0,-1.0
166,2309032,2309,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
167,2309033,2309,0.0,0.0,1.0,0.0,0.0,0.0,1.0
168,2309036,2309,1.0,-1.0,1.0,1.0,1.0,1.0,0.0
169,2309037,2309,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
170,2309039,2309,1.0,1.0,1.0,1.0,1.0,1.0,0.0
171,2309041,2309,1.0,0.0,-1.0,1.0,1.0,1.0,0.0
172,2309042,2309,1.0,1.0,1.0,1.0,1.0,1.0,0.0
173,2309045,2309,1.0,1.0,1.0,1.0,1.0,1.0,0.0
174,2309053,2309,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
175,2309054,2309,1.0,1.0,1.0,1.0,1.0,1.0,1.0
176,2309055,2309,1.0,1.0,0.0,1.0,1.0,-1.0,0.0
177,2309056,2309,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178,2309057,2309,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,2309059,2309,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0
180,2309067,2309,1.0,1.0,-1.0,1.0,1.0,1.0,0.0
181,2309068,2309,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0
182,2309070,2309,1.0,1.0,1.0,1.0,1.0,1.0,0.0
183,2309071,2309,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
184,2309074,2309,0.0,1.0,0.0,0.0,1.0,0.0,-1.0
185,2309075,2309,0.0,1.0,0.0,1.0,1.0,1.0,-1.0
186,2309079,2309,1.0,1.0,0.0,-1.0,1.0,1.0,1.0
187,2309080,2309,0.0,0.0,0.0,1.0,1.0,1.0,-1.0
188,2309081,2309,1.0,1.0,1.0,1.0,0.0,1.0,0.0
189,2309082,2309,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0
190,2309083,2309,1.0,1.0,0.0,1.0,0.0,0.0,0.0
191,2309084,2309,1.0,0.0,1.0,1.0,0.0,0.0,1.0
192,2309085,2309,1.0,1.0,1.0,0.0,0.0,0.0,0.0
193,2309086,2309,0.0,0.0,0.0,1.0,1.0,1.0,0.0
194,2309087,2309,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0
195,2309088,2309,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
196,2309089,2309,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
197,2309092,2309,0.0,1.0,0.0,0.0,0.0,0.0,0.0
198,2309093,2309,0.0,1.0,1.0,1.0,0.0,1.0,1.0
199,2309094,2309,0.0,1.0,0.0,-1.0,1.0,1.0,1.0
200,2309097,2309,1.0,0.0,-1.0,0.0,1.0,1.0,0.0
201,2309098,2309,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0
202,2309100,2309,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
203,2309101,2309,1.0,1.0,0.0,0.0,1.0,0.0,0.0
204,2309102,2309,0.0,1.0,-1.0,1.0,1.0,-1.0,1.0
205,2309127,2309,1.0,1.0,0.0,1.0,1.0,1.0,1.0
206,2309128,2309,1.0,1.0,0.0,1.0,1.0,1.0,-1.0
207,2309133,2309,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
208,2309134,2309,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
209,2309139,2309,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
210,2309140,2309,1.0,1.0,1.0,1.0,1.0,1.0,0.0
211,2309141,2309,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0
212,2309147,2309,1.0,1.0,0.0,0.0,1.0,1.0,0.0
213,2309150,2309,1.0,0.0,0.0,0.0,1.0,-1.0,0.0
214,2309151,2309,1.0,0.0,1.0,0.0,1.0,1.0,-1.0
215,2309152,2309,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
216,2309154,2309,-1.0,1.0,1.0,0.0,1.0,1.0,1.0
217,2309155,2309,0.0,1.0,0.0,0.0,1.0,0.0,-1.0
218,2309158,2309,1.0,0.0,-1.0,1.0,0.0,1.0,0.0
219,2309159,2309,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
220,2309160,2309,1.0,1.0,1.0,1.0,1.0,1.0,1.0
221,2309163,2309,1.0,1.0,0.0,0.0,1.0,1.0,-1.0
222,2309165,2309,1.0,1.0,-1.0,0.0,1.0,1.0,1.0
223,2309170,2309,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
224,2309171,2309,0.0,1.0,1.0,0.0,1.0,1.0,-1.0
225,2309174,2309,1.0,1.0,0.0,0.0,1.0,-1.0,0.0
226,2309183,2309,1.0,1.0,0.0,0.0,1.0,-1.0,-1.0
227,2309184,2309,1.0,1.0,1.0,-1.0,1.0,0.0,-1.0
228,2309185,2309,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0
229,2309187,2309,1.0,-1.0,1.0,1.0,1.0,1.0,1.0
230,2309189,2309,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0
231,2309191,2309,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.0
232,2309192,2309,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
233,2309196,2309,0.0,1.0,0.0,0.0,1.0,0.0,-1.0
234,2309197,2309,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
235,2309198,2309,1.0,1.0,1.0,1.0,1.0,1.0,1.0
236,2309199,2309,1.0,1.0,1.0,1.0,1.0,1.0,1.0
237,2309204,2309,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0
238,2309205,2309,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
239,2309207,2309,1.0,1.0,0.0,1.0,1.0,1.0,0.0
240,2309208,2309,1.0,1.0,1.0,1.0,1.0,1.0,0.0
241,2309211,2309,0.0,1.0,0.0,0.0,1.0,1.0,0.0
242,2309212,2309,0.0,1.0,-1.0,1.0,1.0,0.0,0.0
243,2309214,2309,0.0,1.0,1.0,0.0,1.0,1.0,-1.0
244,2309217,2309,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
245,2309218,2309,1.0,1.0,-1.0,0.0,1.0,1.0,0.0
246,2309219,2309,0.0,1.0,1.0,0.0,1.0,1.0,-1.0
247,2309222,2309,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0
248,2309227,2309,1.0,1.0,0.0,0.0,1.0,0.0,0.0
249,2309228,2309,1.0,1.0,0.0,0.0,1.0,0.0,1.0
250,2309229,2309,1.0,1.0,0.0,0.0,1.0,1.0,-1.0
251,2309232,2309,1.0,1.0,1.0,1.0,1.0,1.0,0.0
252,2309233,2309,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0
253,2605003,2605,-1.0,0.0,-1.0,1.0,1.0,1.0,-1.0
254,2605004,2605,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
255,2605005,2605,1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
256,2605009,2605,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
257,2605016,2605,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0
258,2605017,2605,1.0,1.0,1.0,0.0,1.0,-1.0,0.0
259,2605018,2605,1.0,1.0,-1.0,0.0,0.0,1.0,-1.0
260,2605019,2605,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
261,2605021,2605,0.0,0.0,0.0,0.0,1.0,0.0,0.0
262,2605022,2605,0.0,1.0,1.0,0.0,1.0,0.0,-1.0
263,2605023,2605,1.0,1.0,-1.0,1.0,1.0,0.0,-1.0
264,2605024,2605,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
265,2605025,2605,1.0,-1.0,0.0,0.0,1.0,1.0,0.0
266,2605026,2605,0.0,0.0,1.0,1.0,1.0,0.0,0.0
267,2605027,2605,0.0,0.0,0.0,0.0,1.0,1.0,0.0
268,2605029,2605,1.0,0.0,0.0,1.0,1.0,1.0,-1.0
269,2605030,2605,0.0,-1.0,1.0,-1.0,1.0,1.0,1.0
270,2605031,2605,-1.0,0.0,0.0,1.0,1.0,1.0,1.0
271,2605032,2605,1.0,1.0,1.0,0.0,1.0,0.0,0.0
272,2605033,2605,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
273,2605042,2605,1.0,1.0,-1.0,1.0,1.0,1.0,0.0
274,2605045,2605,1.0,1.0,1.0,1.0,1.0,1.0,1.0
275,2605046,2605,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
276,2605048,2605,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0
277,2605049,2605,1.0,1.0,0.0,0.0,1.0,1.0,0.0
278,2605050,2605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,2605051,2605,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0
280,2605052,2605,1.0,1.0,1.0,1.0,1.0,1.0,1.0
281,2605053,2605,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
282,2605055,2605,1.0,1.0,1.0,0.0,1.0,1.0,-1.0
283,2605056,2605,1.0,1.0,1.0,1.0,1.0,1.0,0.0
284,2605058,2605,0.0,0.0,0.0,1.0,1.0,1.0,0.0
285,2605059,2605,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
286,2605061,2605,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
287,2605062,2605,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0
288,2605064,2605,1.0,1.0,-1.0,1.0,1.0,1.0,0.0
289,2605065,2605,1.0,1.0,-1.0,1.0,1.0,0.0,0.0
290,2605066,2605,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
291,2605067,2605,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
292,2605068,2605,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
293,2605076,2605,0.0,-1.0,-1.0,1.0,1.0,0.0,1.0
294,2605078,2605,1.0,1.0,0.0,0.0,1.0,1.0,-1.0
295,2605080,2605,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0
296,2605081,2605,1.0,1.0,1.0,0.0,1.0,1.0,-1.0
297,2605083,2605,1.0,1.0,1.0,1.0,1.0,1.0,0.0
298,2605084,2605,1.0,0.0,-1.0,0.0,1.0,1.0,0.0
299,2605085,2605,1.0,1.0,1.0,1.0,1.0,1.0,0.0
300,2605086,2605,1.0,1.0,1.0,1.0,1.0,0.0,1.0
301,2605089,2605,0.0,1.0,0.0,0.0,1.0,1.0,0.0
302,2610001,2610,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0
303,2610002,2610,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
304,2610003,2610,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0
305,2610004,2610,0.0,0.0,0.0,0.0,1.0,0.0,0.0
306,2610005,2610,1.0,1.0,0.0,0.0,1.0,1.0,-1.0
307,2610007,2610,0.0,0.0,-1.0,1.0,1.0,0.0,-1.0
308,2610009,2610,1.0,1.0,1.0,1.0,1.0,1.0,1.0
309,2610010,2610,1.0,1.0,0.0,0.0,0.0,0.0,0.0
310,2610011,2610,1.0,1.0,1.0,1.0,1.0,1.0,1.0
311,2610012,2610,0.0,1.0,-1.0,1.0,1.0,1.0,0.0
312,2610013,2610,1.0,1.0,1.0,1.0,1.0,1.0,1.0
313,2610014,2610,1.0,1.0,1.0,1.0,1.0,1.0,0.0
314,2610015,2610,-1.0,-1.0,-1.0,0.0,-1.0,0.0,1.0
315,2610017,2610,0.0,1.0,1.0,0.0,1.0,-1.0,-1.0
316,2610018,2610,-1.0,-1.0,0.0,-1.0,1.0,1.0,-1.0
317,2610019,2610,1.0,1.0,0.0,-1.0,1.0,1.0,1.0
318,2610020,2610,1.0,1.0,1.0,1.0,1.0,1.0,0.0
319,2610021,2610,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
320,2610022,2610,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0
321,2610023,2610,1.0,1.0,1.0,1.0,1.0,1.0,1.0
322,2610024,2610,1.0,1.0,1.0,1.0,1.0,1.0,0.0
323,2610025,2610,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0
324,2610026,2610,1.0,1.0,1.0,1.0,1.0,1.0,0.0
325,2610027,2610,0.0,1.0,1.0,1.0,1.0,1.0,0.0
326,2610028,2610,1.0,1.0,1.0,1.0,1.0,1.0,0.0
327,2610029,2610,1.0,1.0,1.0,1.0,0.0,1.0,-1.0
328,2610031,2610,1.0,1.0,1.0,1.0,1.0,0.0,1.0
329,2610032,2610,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0
330,2610033,2610,0.0,1.0,1.0,1.0,1.0,1.0,0.0
331,2610034,2610,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0
332,2610035,2610,1.0,1.0,1.0,1.0,1.0,1.0,1.0
333,2610036,2610,1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0
334,2610037,2610,1.0,1.0,1.0,0.0,1.0,1.0,1.0
335,2610038,2610,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
336,2610040,2610,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
337,2610041,2610,1.0,1.0,0.0,-1.0,1.0,1.0,0.0
338,2610042,2610,1.0,1.0,1.0,1.0,1.0,1.0,0.0
339,2610043,2610,1.0,0.0,-1.0,-1.0,1.0,1.0,-1.0
340,2610044,2610,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
341,2610045,2610,-1.0,1.0,0.0,0.0,1.0,0.0,-1.0
342,2610046,2610,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
343,2610047,2610,-1.0,-1.0,1.0,0.0,1.0,0.0,-1.0
344,2610048,2610,1.0,1.0,1.0,-1.0,1.0,1.0,0.0
345,2610049,2610,-1.0,1.0,1.0,0.0,1.0,1.0,1.0
346,2610050,2610,1.0,1.0,1.0,-1.0,1.0,1.0,0.0
347,2610051,2610,1.0,1.0,0.0,1.0,1.0,1.0,1.0
348,2610052,2610,0.0,-1.0,-1.0,0.0,1.0,0.0,1.0
349,2610053,2610,1.0,1.0,-1.0,1.0,1.0,1.0,0.0
350,2610054,2610,1.0,1.0,0.0,1.0,1.0,1.0,1.0
351,2610055,2610,1.0,1.0,1.0,1.0,1.0,1.0,0.0
352,2610056,2610,1.0,1.0,1.0,1.0,1.0,0.0,0.0
353,2610057,2610,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
354,2610058,2610,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
355,2610059,2610,1.0,0.0,0.0,1.0,1.0,1.0,-1.0
356,2610060,2610,1.0,1.0,1.0,0.0,1.0,1.0,1.0
357,2610061,2610,1.0,1.0,1.0,1.0,1.0,1.0,1.0
358,2610062,2610,0.0,1.0,0.0,-1.0,1.0,1.0,-1.0
359,2610063,2610,1.0,1.0,1.0,1.0,1.0,1.0,1.0
360,2610064,2610,0.0,1.0,0.0,0.0,1.0,1.0,-1.0
361,2610066,2610,1.0,1.0,1.0,1.0,1.0,1.0,0.0
362,2610067,2610,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
