,HHID,Gender,Age,Caste,RiskPref,RiskSeek
67,2304025,1,30,5,2,False
68,2304026,1,36,5,5,False
69,2304027,1,33,1,10,True
70,2304028,1,39,1,5,False
71,2304029,1,30,1,10,True
72,2304030,1,40,1,10,True
73,2304031,0,29,5,7,True
74,2304032,0,38,5,5,False
75,2304033,0,62,1,10,True
76,2304034,0,58,1,5,False
77,2304035,0,50,1,10,True
78,2304036,0,26,1,7,True
79,2304037,0,48,1,7,True
80,2304038,0,62,1,6,True
81,2304039,1,60,1,8,True
82,2304040,0,32,1,5,False
83,2304041,1,64,1,5,False
84,2304043,1,37,1,5,False
85,2304044,1,39,1,5,False
86,2304045,1,45,1,10,True
87,2304046,0,42,1,10,True
88,2304049,0,79,1,2,False
89,2304050,1,61,1,2,False
90,2304051,0,50,4,10,True
91,2304052,1,35,1,2,False
92,2304053,0,60,1,4,False
93,2304055,1,38,1,10,True
94,2304056,1,40,1,5,False
95,2304059,1,40,1,10,True
96,2304064,1,48,2,10,True
97,2304065,1,31,1,10,True
98,2304070,0,67,3,0,False
99,2304071,0,77,1,5,False
100,2304072,1,37,3,0,False
101,2304075,1,60,3,5,False
102,2304076,1,32,5,5,False
103,2304083,0,66,1,4,False
104,2304084,1,35,1,5,False
105,2304085,1,61,5,10,True
106,2304086,0,43,5,3,False
107,2304087,1,55,5,10,True
108,2304089,1,37,5,5,False
109,2304090,0,48,5,5,False
110,2304091,1,45,5,5,False
111,2304092,0,52,5,5,False
112,2304094,1,50,5,5,False
113,2304098,0,64,4,5,False
114,2304103,0,59,1,7,True
115,2304105,1,33,1,5,False
116,2304110,0,63,3,4,False
117,2304111,1,52,3,0,False
118,2304112,1,27,3,5,False
119,2304118,1,27,1,7,True
120,2304119,1,60,5,3,False
121,2304121,1,72,1,10,True
122,2304122,1,55,4,3,False
123,2304123,1,55,1,7,True
124,2304124,1,36,1,4,False
125,2304126,1,53,1,7,True
126,2304130,1,35,1,10,True
127,2304131,0,82,1,5,False
128,2304132,1,40,1,5,False
129,2304133,0,65,1,5,False
130,2304134,1,37,1,6,True
131,2304135,1,43,1,5,False
132,2304136,0,39,1,10,True
133,2304139,0,52,1,8,True
134,2304140,0,63,1,5,False
135,2304141,1,60,1,4,False
136,2304146,1,30,1,3,False
137,2304147,1,39,1,10,True
138,2304148,1,42,1,3,False
139,2304149,0,50,1,4,False
140,2304150,1,58,1,5,False
141,2304151,1,35,1,2,False
142,2304152,1,28,1,4,False
143,2304154,0,47,1,6,True
144,2304155,0,44,3,10,True
145,2304157,0,68,4,10,True
146,2304158,0,38,5,5,False
147,2304163,0,44,3,5,False
148,2304162,1,33,3,10,True
149,2304164,1,29,3,10,True
150,2304166,0,42,3,5,False
151,2304167,1,45,3,10,True
152,2304170,1,33,3,5,False
153,2304173,1,69,3,5,False
154,2304174,0,57,1,10,True
155,2304175,0,46,3,5,False
156,2304176,1,50,1,10,True
157,2304177,1,46,1,6,True
158,2309002,0,46,3,10,True
159,2309004,0,54,1,5,False
160,2309014,1,38,1,5,False
161,2309016,0,46,1,10,True
162,2309021,1,44,1,10,True
163,2309022,1,35,1,5,False
164,2309029,1,45,1,10,True
165,2309030,0,68,1,10,True
166,2309032,1,68,1,10,True
167,2309033,0,52,1,10,True
168,2309036,1,54,1,5,False
169,2309037,0,56,1,5,False
170,2309039,0,48,2,5,False
171,2309041,1,40,1,10,True
172,2309042,1,56,1,5,False
173,2309045,1,58,1,7,True
174,2309053,1,35,2,4,False
175,2309054,1,25,5,5,False
176,2309055,0,74,1,6,True
177,2309056,1,36,6,2,False
178,2309057,1,38,2,3,False
179,2309059,1,36,1,5,False
180,2309067,1,40,5,10,True
181,2309068,1,55,3,10,True
182,2309070,1,47,1,5,False
183,2309071,1,24,6,6,True
184,2309074,1,71,6,3,False
185,2309075,1,55,1,4,False
186,2309079,1,55,5,10,True
187,2309080,1,30,6,5,False
188,2309081,0,50,6,5,False
189,2309082,1,43,6,0,False
190,2309083,1,38,6,10,True
191,2309084,1,51,6,4,False
192,2309085,0,57,6,5,False
193,2309086,1,42,1,10,True
194,2309087,1,18,6,0,False
195,2309088,0,55,1,5,False
196,2309089,1,62,6,5,False
197,2309092,0,65,6,5,False
198,2309093,0,67,4,5,False
199,2309094,1,63,2,10,True
200,2309097,0,33,1,4,False
201,2309098,1,28,1,5,False
202,2309100,1,40,1,5,False
203,2309101,1,44,3,7,True
204,2309102,1,18,3,5,False
205,2309127,0,42,2,5,False
206,2309128,1,48,2,5,False
207,2309133,1,44,3,0,False
208,2309134,0,40,2,5,False
209,2309139,1,45,1,0,False
210,2309140,1,49,2,10,True
211,2309141,1,29,2,5,False
212,2309147,1,52,2,5,False
213,2309150,1,48,2,4,False
214,2309151,1,54,2,10,True
215,2309152,1,37,2,10,True
216,2309154,1,27,2,4,False
217,2309155,1,57,4,1,False
218,2309158,1,56,5,5,False
219,2309159,1,56,5,0,False
220,2309160,1,33,5,5,False
221,2309163,1,39,5,4,False
222,2309165,0,44,5,5,False
223,2309170,1,45,5,0,False
224,2309171,0,31,5,10,True
225,2309174,1,30,6,4,False
226,2309183,0,42,5,4,False
227,2309184,0,45,3,6,True
228,2309185,0,35,3,0,False
229,2309187,1,22,3,4,False
230,2309189,1,25,5,10,True
231,2309191,1,47,1,6,True
232,2309192,1,40,1,2,False
233,2309196,0,65,1,4,False
234,2309197,1,42,1,2,False
235,2309198,1,47,1,3,False
236,2309199,0,43,2,4,False
237,2309204,1,35,1,0,False
238,2309205,0,48,1,7,True
239,2309207,1,44,2,10,True
240,2309208,1,41,1,7,True
241,2309211,1,48,1,10,True
242,2309212,0,55,1,8,True
243,2309214,1,45,1,1,False
244,2309217,1,50,1,7,True
245,2309218,1,52,5,9,True
246,2309219,1,40,1,3,False
247,2309222,1,55,5,5,False
248,2309227,0,57,1,6,True
249,2309228,1,49,5,5,False
250,2309229,0,45,5,5,False
251,2309232,0,67,1,5,False
252,2309233,0,46,1,5,False
253,2605003,1,56,1,10,True
254,2605004,0,68,1,10,True
255,2605005,0,51,1,6,True
256,2605009,1,57,1,5,False
257,2605016,1,23,2,9,True
258,2605017,1,43,2,5,False
259,2605018,1,70,2,4,False
260,2605019,0,69,2,5,False
261,2605021,1,39,2,7,True
262,2605022,1,31,2,6,True
263,2605023,0,32,1,5,False
264,2605024,0,56,2,4,False
265,2605025,1,40,1,5,False
266,2605026,1,44,1,0,False
267,2605027,0,66,1,0,False
268,2605029,0,68,1,3,False
269,2605030,1,42,1,4,False
270,2605031,1,52,2,5,False
271,2605032,0,55,2,5,False
272,2605033,0,50,1,0,False
273,2605042,1,26,1,9,True
274,2605045,1,23,3,4,False
275,2605046,1,65,1,9,True
276,2605048,1,43,1,9,True
277,2605049,1,49,2,10,True
278,2605050,0,28,1,9,True
279,2605051,1,54,1,7,True
280,2605052,1,25,2,10,True
281,2605053,1,61,1,10,True
282,2605055,1,33,2,9,True
283,2605056,1,40,1,4,False
284,2605058,1,40,1,10,True
285,2605059,1,44,1,10,True
286,2605061,0,72,1,0,False
287,2605062,0,53,1,5,False
288,2605064,0,43,1,8,True
289,2605065,1,30,1,6,True
290,2605066,1,45,1,0,False
291,2605067,1,35,1,0,False
292,2605068,1,40,1,10,True
293,2605076,0,57,1,5,False
294,2605078,0,49,1,10,True
295,2605080,1,40,1,9,True
296,2605081,1,66,2,9,True
297,2605083,0,31,1,6,True
298,2605084,1,46,2,10,True
299,2605085,1,30,2,4,False
300,2605086,0,22,3,0,False
301,2605089,1,36,1,5,False
302,2610001,0,59,3,7,True
303,2610002,1,38,3,6,True
304,2610003,1,40,3,1,False
305,2610004,0,85,2,4,False
306,2610005,1,37,5,4,False
307,2610007,0,31,5,2,False
308,2610009,1,50,5,3,False
309,2610010,1,26,5,5,False
310,2610011,1,74,2,5,False
311,2610012,1,42,5,5,False
312,2610013,1,36,5,3,False
313,2610014,1,34,5,5,False
314,2610015,0,26,5,10,True
315,2610017,0,43,5,10,True
316,2610018,1,46,5,1,False
317,2610019,0,39,5,5,False
318,2610020,0,38,5,10,True
319,2610021,1,59,5,10,True
320,2610022,1,30,5,10,True
321,2610023,1,27,5,10,True
322,2610024,1,50,5,5,False
323,2610025,0,40,5,4,False
324,2610026,1,35,5,10,True
325,2610027,1,35,5,4,False
326,2610028,0,64,5,10,True
327,2610029,1,31,1,10,True
328,2610031,0,60,5,3,False
329,2610032,0,38,5,5,False
330,2610033,1,49,5,10,True
331,2610034,0,28,5,5,False
332,2610035,1,33,5,4,False
333,2610036,1,37,5,4,False
334,2610037,0,42,5,8,True
335,2610038,0,48,5,4,False
336,2610040,0,45,5,8,True
337,2610041,0,53,5,7,True
338,2610042,0,53,5,5,False
339,2610043,0,64,5,8,True
340,2610044,1,50,5,5,False
341,2610045,1,41,5,5,False
342,2610046,1,37,5,0,False
343,2610047,0,40,5,5,False
344,2610048,1,62,5,5,False
345,2610049,1,53,5,7,True
346,2610050,1,60,5,10,True
347,2610051,1,30,5,3,False
348,2610052,1,34,5,5,False
349,2610053,1,32,5,10,True
350,2610054,1,33,5,10,True
351,2610055,0,40,5,5,False
352,2610056,0,27,5,5,False
353,2610057,1,28,5,3,False
354,2610058,1,27,5,4,False
355,2610059,1,24,5,5,False
356,2610060,1,25,5,4,False
357,2610061,1,50,5,10,True
358,2610062,1,60,5,4,False
359,2610063,1,58,5,4,False
360,2610064,1,49,5,5,False
361,2610066,1,53,5,6,True
362,2610067,0,56,5,5,False
363,2610068,0,41,5,8,True
364,2610070,1,49,5,4,False
365,2610071,1,38,5,5,False
366,2610072,0,39,5,5,False
367,2610073,0,34,5,5,False
368,2610074,0,55,5,5,False
369,2610075,1,30,5,5,False
370,2610076,1,55,5,10,True
371,2610077,1,46,5,2,False
372,2610078,1,45,5,4,False
373,2610079,1,42,5,4,False
374,2610081,0,25,5,9,True
375,2610083,0,54,5,10,True
376,2610084,0,28,1,5,False
377,2610085,0,59,3,4,False
378,2610086,1,53,1,5,False
379,2610087,1,43,2,4,False
380,2610088,1,39,3,1,False
381,2610090,0,62,2,10,True
382,2610091,1,36,3,10,True
383,2610092,0,53,5,4,False
384,2610093,1,29,6,0,False
385,2610095,1,39,2,10,True
386,2610100,1,32,6,5,False
387,2610101,1,29,3,10,True
388,2610102,1,27,3,5,False
389,2610103,1,45,1,8,True
390,2610104,0,77,3,10,True
391,2610105,1,49,3,8,True
392,2610106,1,38,3,5,False
393,2610107,1,43,2,8,True
394,2610108,1,39,2,10,True
395,2610109,1,72,2,5,False
396,2610111,0,60,2,8,True
397,2610118,0,65,1,10,True
398,2610119,1,78,1,5,False
399,2610123,1,36,3,10,True
400,2610124,1,39,3,5,False
401,2611001,1,35,4,10,True
402,2611002,1,39,5,10,True
403,2611003,1,35,5,5,False
404,2611004,1,44,5,10,True
405,2611005,0,50,5,5,False
406,2611006,1,43,1,7,True
407,2611007,0,60,4,5,False
408,2611008,1,46,3,5,False
409,2611009,0,45,2,10,True
410,2611010,0,41,5,3,False
411,2611011,1,28,5,4,False
412,2611012,0,56,3,10,True
413,2611013,1,25,5,2,False
414,2611014,1,27,3,2,False
415,2611015,1,37,3,4,False
416,2611016,1,37,1,4,False
417,2611017,1,36,1,10,True
418,2611018,0,68,5,5,False
419,2611019,1,33,5,7,True
420,2611020,1,56,5,5,False
421,2611021,1,33,5,5,False
422,2611024,0,40,3,5,False
423,2611025,1,29,3,5,False
424,2611026,1,40,3,5,False
425,2611027,1,40,3,5,False
426,2611028,1,62,3,0,False
427,2611030,1,51,3,7,True
428,2611032,1,60,5,2,False
429,2611033,0,44,5,7,True
430,2611034,1,37,5,10,True
431,2611036,0,64,1,6,True
432,2611037,0,65,5,4,False
433,2611038,1,47,5,5,False
434,2611039,1,32,5,10,True
435,2611040,1,30,5,5,False
436,2611041,0,75,1,10,True
437,2611042,1,36,5,5,False
438,2611044,1,57,5,6,True
439,2611045,0,65,5,6,True
440,2611046,1,56,1,1,False
441,2611049,1,60,5,5,False
442,2611051,1,36,5,5,False
443,2611052,1,27,1,5,False
444,2611053,1,40,5,3,False
445,2611054,0,50,5,5,False
446,2611056,1,61,1,4,False
447,2611058,0,58,3,4,False
448,2611060,1,26,3,2,False
449,2611061,1,29,2,0,False
450,2611062,0,22,5,5,False
451,2611063,0,62,5,5,False
452,2611064,1,45,5,6,True
453,2611065,1,57,5,5,False
454,2611067,1,37,5,5,False
455,2611068,1,36,5,10,True
456,2611069,1,46,5,8,True
457,2611070,1,57,5,3,False
458,2611071,1,22,5,5,False
459,2611072,1,37,5,6,True
460,2611073,1,30,5,10,True
461,2611074,0,59,5,7,True
462,2611075,1,35,5,9,True
463,2611076,0,73,5,10,True
464,2611077,1,28,1,6,True
465,2611078,1,28,1,10,True
466,2611080,0,73,1,10,True
467,2611081,1,29,1,5,False
468,2611083,1,36,1,5,False
469,2611084,0,61,1,5,False
470,2611085,0,79,1,10,True
471,2611086,1,34,5,8,True
472,2611087,0,43,5,10,True
473,2611088,1,30,5,10,True
474,2611089,1,42,5,10,True
475,2611090,0,33,5,5,False
476,2611091,1,36,5,2,False
477,2611092,1,60,5,10,True
478,2611093,1,27,5,10,True
479,2611094,1,53,5,10,True
480,2611095,0,34,5,8,True
481,2611096,1,34,5,10,True
482,2611097,0,41,5,10,True
483,2611098,1,31,5,10,True
484,2611099,0,22,5,10,True
485,2611100,0,33,5,5,False
486,2611101,1,42,5,10,True
487,2611102,1,40,5,10,True
488,2611103,1,22,5,10,True
489,2611104,1,26,3,5,False
490,2611105,1,40,3,5,False
491,2611106,1,35,3,10,True
492,2611109,0,35,6,10,True
493,2611110,1,28,3,5,False
494,2611111,1,33,3,5,False
495,2611114,0,47,6,5,False
496,2611115,1,36,6,8,True
497,2611117,1,44,3,6,True
498,2611118,1,56,3,0,False
499,2611119,0,73,3,10,True
